company,year,framing_ethical,framing_surveillance,framing_market,num_docs
2060.io,20.0,0.0,0.0,1.0,4
accurascan.com,20.0,0.0,0.16666666666666666,0.8333333333333334,9
aicure.com,20.0,0.7777777777777778,0.0,0.2222222222222222,6
ailabs.tw,20.0,1.0,0.0,0.0,5
aimbrain.com,20.0,0.5106382978723404,0.0,0.48936170212765956,1
aisles.app,20.0,0.5,0.0,0.5,3
allevate.com,20.0,0.0,0.0,0.0,1
alwaysai.co,20.0,0.0,0.4,0.6,36
ampletrails.com,20.0,0.0,0.0,0.0,13
ams-osram.com,20.0,0.0,0.0,0.0,1
androvideo.com,20.0,0.15789473684210525,0.5263157894736842,0.3157894736842105,12
apiarys.com,20.0,0.0,0.0,0.0,5
attaininsight.com,20.0,0.5333333333333333,0.06666666666666667,0.4,2
augentic.com,20.0,0.2,0.8,0.0,11
awiros.com,20.0,0.08,0.32,0.6,9
ayonix.com,20.0,0.0,0.0,0.0,1
barnksfortetech.com,20.0,0.0,0.0,1.0,4
bi.com,20.0,0.6619718309859155,0.22535211267605634,0.11267605633802817,10
bi2technologies.com,20.0,0.0,1.0,0.0,4
bigbear.ai,20.0,0.0,0.0,1.0,1
bio-metrica.com,20.0,0.17647058823529413,0.8235294117647058,0.0,5
biometrica.com,19.0,0.0,0.0,0.0,1
biometricvision.com,20.0,0.7213114754098361,0.09836065573770492,0.18032786885245902,12
bioqube.ai,20.0,0.10714285714285714,0.0,0.8928571428571429,1
birdee.solutions,20.0,0.2608695652173913,0.0,0.7391304347826086,9
churchix.com,20.0,0.0,1.0,0.0,24
corporate.glory-global.com,20.0,0.4406779661016949,0.05084745762711865,0.5084745762711864,42
cortica.com,20.0,0.25,0.75,0.0,18
creativetimesolutions.com,20.0,0.25,0.0,0.75,1
credas.com,20.0,0.4864864864864865,0.0,0.5135135135135135,1
cybercoretech.com,20.0,0.3333333333333333,0.0,0.6666666666666666,6
cyberextruder.com,20.0,0.0,0.8125,0.1875,3
daltrey.com,20.0,0.8666666666666667,0.0,0.13333333333333333,2
dataworksplus.com,20.0,0.07303370786516854,0.6235955056179775,0.30337078651685395,51
deepsense.ai,20.0,0.0,0.0,1.0,1
dpmsys.com,20.0,0.5609756097560976,0.21951219512195122,0.21951219512195122,30
e3iq.com,20.0,0.2112676056338028,0.0,0.7887323943661971,12
easyclocking.com,20.0,0.0,0.0,1.0,8
elementsolutions.io,20.0,0.25,0.0,0.75,6
